127.0.0.1, 2014-02-19 11:12:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.167778
127.0.0.1, 2014-02-19 11:12:16, GET, /addresses, HTTP/1.1, 404, 0.000612
127.0.0.1, 2014-02-19 11:12:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2014-02-19 11:12:28, GET, /CostEstimator/addresses, HTTP/1.1, 404, 0.000890
127.0.0.1, 2014-02-19 11:12:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2014-02-19 11:12:35, GET, /CostEstimator/address, HTTP/1.1, 404, 0.000414
127.0.0.1, 2014-02-19 11:12:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2014-02-19 11:12:38, GET, /CostEstimator/addresses, HTTP/1.1, 404, 0.000546
127.0.0.1, 2014-02-19 11:12:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2014-02-19 11:12:42, GET, /CostEstimator/addresses/addresses, HTTP/1.1, 404, 0.000401
127.0.0.1, 2014-02-19 11:12:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2014-02-19 11:12:46, GET, /CostEstimator/addresses/index, HTTP/1.1, 404, 0.000620
127.0.0.1, 2014-02-19 11:12:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2014-02-19 11:12:50, GET, /CostEstimator/addresses/index.html, HTTP/1.1, 404, 0.000594
127.0.0.1, 2014-02-19 11:12:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2014-02-19 11:14:55, GET, /, HTTP/1.1, 303, 0.002142
127.0.0.1, 2014-02-19 11:14:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.105440
127.0.0.1, 2014-02-19 11:15:11, GET, /admin/default/index, HTTP/1.1, 303, 0.054397
127.0.0.1, 2014-02-19 11:15:11, GET, /admin/default/site, HTTP/1.1, 200, 0.040787
127.0.0.1, 2014-02-19 11:15:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2014-02-19 11:15:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2014-02-19 11:15:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/default/index, HTTP/1.1, 200, 0.070657
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000578
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.002672
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000429
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000428
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.001654
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000421
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.004545
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.001573
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.000577
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.001133
127.0.0.1, 2014-02-19 11:15:13, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001357
127.0.0.1, 2014-02-19 11:15:20, GET, /CostEstimate/addresses/index, HTTP/1.1, 200, 0.021813
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/addresses, HTTP/1.1, 200, 0.023513
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000383
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.004098
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000423
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001012
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.003061
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003158
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.001639
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001283
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000438
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.000514
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.000435
127.0.0.1, 2014-02-19 11:16:26, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.002811
127.0.0.1, 2014-02-19 11:34:26, GET, /, HTTP/1.1, 303, 0.002944
127.0.0.1, 2014-02-19 11:34:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.115312
127.0.0.1, 2014-02-19 11:34:28, GET, /admin/default/index, HTTP/1.1, 200, 0.117693
127.0.0.1, 2014-02-19 11:34:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2014-02-19 11:34:31, POST, /admin/default/index, HTTP/1.1, 303, 0.031190
127.0.0.1, 2014-02-19 11:34:31, GET, /admin/default/site, HTTP/1.1, 200, 0.039797
127.0.0.1, 2014-02-19 11:34:31, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000847
127.0.0.1, 2014-02-19 11:34:31, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000502
